benchmark,Auto-Index compile time [s],Auto-Index runtime [ms],Auto-Index memory [kb],Auto-Index #index,Auto-Index exit code,Naive-Index compile time [s],Naive-Index runtime [ms],Naive-Index memory [kb],Naive-Index #index,Naive-Index exit code,Single-Index compile time [s],Single-Index runtime [ms],Single-Index memory [kb],Single-Index #index,Single-Index exit code,bddbddb runtime [ms],bddbddb memory [kb],"bddbddb exit_code (0=OK,1=Translation Error, 124=Timeout)",z3 runtime [ms],z3 memory [kb],"z3 exit_code (0=OK,1=Translation Error, 124=Timeout)"
access-policy,5.277836294,1110,16800,10,0,4.444715006,970,38844,18,0,3.870577971,700,13744,0,0,30110,450672,124,490,58412,0
access1,3.308482895,710,23228,10,0,3.475901394,900,36112,16,0,2.90522736,3000,17408,0,124,30010,568752,124,30020,6801976,124
access2,4.447964959,660,36240,12,0,5.437632542,1160,54588,24,0,3.247976782,410,23556,0,0,30080,452044,124,2450,57560,0
access3,4.421666115,570,31968,12,0,5.545747991,970,50412,24,0,3.338838763,310,20912,0,0,30010,449124,124,2120,53236,0
cellular_automata,5.031009096,870,5620,20,0,5.058656614,940,6440,27,0,4.949845478,870,5552,0,0,30090,608652,124,,8908,1
components,4.131743107,1060,4076,19,0,4.129963735,1120,4192,37,0,4.241127896,960,3984,0,0,2700,169812,0,5520,28820,0
cprog1,3.016087646,910,3892,5,0,3.040523264,880,4684,8,0,3.071654503,880,4000,0,0,30150,449128,124,,8956,1
cprog2,3.077582306,1060,3724,4,0,2.992443819,970,4008,8,0,3.042906296,960,3712,0,0,30120,448320,124,,9000,1
cprog3,2.933079906,590,26580,3,0,3.093746568,950,49744,6,0,3.006812096,590,26628,0,0,,66652,1,,8864,1
cprog4,2.943910272,680,23056,3,0,2.967519564,980,42804,6,0,2.880844793,700,23112,0,0,30070,453516,124,,9044,1
cprog5,2.99714303,710,16236,4,0,2.960969366,880,28728,8,0,3.278259364,690,16236,0,0,30120,452112,124,,9032,1
family,3.259706685,720,235992,8,0,3.245760896,1020,364112,12,0,3.238247589,710,235688,0,0,30190,442568,124,,8868,1
nfsa2fsa,6.492889957,540,17696,38,0,6.613938876,540,18624,53,0,5.546553685,3000,17008,0,124,,69932,1,,8736,1
orbits,3.141019971,1100,3900,5,0,2.908852262,1100,4064,9,0,3.371529526,1080,3916,0,0,2630,167928,0,10,9016,1
po1,5.120267304,770,13828,12,0,8.085121584,900,24924,38,0,4.026084318,3000,9784,0,124,30050,460252,124,1720,189132,0
po2,5.524638043,770,12776,14,0,8.266290645,890,20924,36,0,3.949969723,3000,8760,0,124,30030,468928,124,1590,135508,0
po3,4.616936608,880,9068,8,0,6.806863943,990,16360,30,0,3.803676573,3000,7584,0,124,30100,651252,124,3530,86164,0
po4,4.254397001,1110,6876,6,0,5.225820738,1050,11288,18,0,3.380653203,3000,6432,0,124,21760,630756,0,4060,34700,0
po5,4.820096645,900,9920,10,0,6.236496209,1020,15852,26,0,3.767726561,3000,7784,0,124,30100,651068,124,3570,80168,0
pointsto,4.346329508,1180,4932,16,0,4.295351299,1020,5100,20,0,3.758279785,3000,4636,0,124,23110,1705772,0,6350,135120,0
ranpo,4.659548337,800,21176,10,0,5.359480908,1040,27620,18,0,3.418173392,3000,15356,0,124,30060,1018192,124,2480,224108,0
sequences,5.389484705,900,26832,28,0,5.409479365,1000,33600,36,0,4.658782716,1640,23100,0,0,30160,454300,124,,9020,1
tak,4.247104286,600,3964,4,0,4.133280925,600,4496,11,0,3.668288427,860,3824,0,0,,68644,1,,8820,1
tc,3.343392355,1000,4204,12,0,3.263263287,950,4228,16,0,3.18445546,960,4192,0,0,4390,167160,0,30,9028,1
topological_ordering,3.616548772,1080,4644,16,0,3.594998116,1080,5280,24,0,3.42478891,3000,4528,0,124,30120,443336,124,,8856,1
trans,3.303751024,760,134204,4,0,3.283498431,1020,265232,8,0,3.624669313,710,134392,0,0,30050,641376,124,720,44712,0
x9,3.212503236,660,191176,4,0,3.210669144,1010,324540,8,0,3.090638931,690,191040,0,0,30010,580580,124,750,45940,0
